time,count·,v1,v2,V3,v4,v5,v6,v7,v8,,,,,,
112249779,3271,0.07275,-0.007875,-0.083625,0.006938,0.000375,-0.006187,-0.011063,-0.004688,0,0,0,0,0,0
112352571,3272,0.07875,-0.007875,-0.09075,0.00675,-0.000375,-0.007125,-0.01275,-0.005625,0,0,0,0,0,0
112386844,3275,0.07875,-0.007875,-0.09075,0.00675,-0.000375,-0.007125,-0.01275,-0.005625,0,0,0,0,0,0
112489636,3276,0.075,-0.005813,-0.08625,0.004687,-0.00075,-0.007313,-0.012375,-0.005625,0,0,0,0,0,0
112523895,3279,0.07875,-0.006375,-0.09,0.005438,0.0015,-0.005437,-0.010875,-0.004125,0,0,0,0,0,0
112626699,3280,0.078375,-0.006188,-0.089812,0.00525,0.001312,-0.005625,-0.011063,-0.003937,0,0,0,0,0,0
112626699,3282,0.078375,-0.006188,-0.089812,0.00525,0.001312,-0.005625,-0.011063,-0.003937,0,0,0,0,0,0
112729497,3283,0.080812,-0.005625,-0.092438,0.0045,0.000938,-0.006,-0.011813,-0.0045,0,0,0,0,0,0
112763754,3286,0.081375,-0.004125,-0.093,0.003187,0.001125,-0.005813,-0.011625,-0.004125,0,0,0,0,0,0
112866545,3287,0.081375,-0.004687,-0.093187,0.003562,0.001687,-0.005063,-0.011063,-0.00375,0,0,0,0,0,0
112969337,3290,0.081375,-0.003375,-0.093375,0.00225,0.000375,-0.006563,-0.012563,-0.00525,0,0,0,0,0,0
113003612,3293,0.083625,-0.003,-0.096,0.001688,-0.000563,-0.007875,-0.013875,-0.006375,0,0,0,0,0,0
113106402,3294,0.0855,-0.002625,-0.098063,0.001313,-0.00075,-0.007875,-0.01425,-0.006563,0,0,0,0,0,0
113140657,3297,0.087563,-0.002062,-0.1005,0.000937,-0.000563,-0.007875,-0.014063,-0.006187,0,0,0,0,0,0
113243441,3298,0.088312,-0.001312,-0.10125,-0.000375,-0.0015,-0.009,-0.015188,-0.007312,0,0,0,0,0,0
113243441,3300,0.088312,-0.001312,-0.10125,-0.000375,-0.0015,-0.009,-0.015188,-0.007312,0,0,0,0,0,0
113346241,3301,0.088125,-0.001125,-0.10125,-0.000375,-0.00075,-0.008063,-0.014625,-0.006375,0,0,0,0,0,0
113380491,3304,0.089813,-0.000375,-0.103125,-0.001125,-0.00225,-0.009375,-0.01575,-0.007688,0,0,0,0,0,0
113483272,3305,0.092437,-0.000375,-0.106125,-0.001312,-0.00225,-0.00975,-0.016313,-0.007875,0,0,0,0,0,0
113517535,3308,0.090563,0,-0.103875,-0.0015,-0.003375,-0.0105,-0.016875,-0.008812,0,0,0,0,0,0
113620316,3309,0.089625,0.000375,-0.1035,-0.00225,-0.003938,-0.01125,-0.017625,-0.009375,0,0,0,0,0,0
113620316,3311,0.089625,0.000375,-0.1035,-0.00225,-0.003938,-0.01125,-0.017625,-0.009375,0,0,0,0,0,0
113723115,3312,0.096562,0.001312,-0.110625,-0.003,-0.003,-0.010688,-0.017625,-0.008812,0,0,0,0,0,0
113757373,3315,0.096562,0.001312,-0.110625,-0.003,-0.003,-0.010688,-0.017625,-0.008812,0,0,0,0,0,0
113860173,3316,0.064687,0.00075,-0.07275,-0.002062,-0.001125,-0.006187,-0.010313,-0.004688,0,0,0,0,0,0
113894453,3319,0.011062,0.000563,-0.012562,-0.000563,-0.001688,-0.002625,-0.002625,-0.002062,0,0,0,0,0,0
113997244,3320,0.004875,0.000375,-0.00525,-0.000188,-0.001313,-0.002063,-0.0015,-0.001687,0,0,0,0,0,0
113997244,3322,0.004875,0.000375,-0.00525,-0.000188,-0.001313,-0.002063,-0.0015,-0.001687,0,0,0,0,0,0
114100011,3323,-0.002063,0.000187,0.002063,0,-0.00075,-0.00075,-0.000188,-0.00075,0,0,0,0,0,0
114134255,3326,-0.002063,0.000187,0.002063,0,-0.00075,-0.00075,-0.000188,-0.00075,0,0,0,0,0,0
114237051,3327,-0.024188,0.00075,0.02925,-0.000375,-0.004688,-0.002438,0.000375,-0.002437,0,0,0,0,0,0
114271310,3330,-0.044063,-0.000375,0.051563,0.0015,-0.006563,-0.003,0.001125,-0.003375,0,0,0,0,0,0
114374096,3333,-0.052875,-0.000187,0.060937,0.001688,-0.008438,-0.004125,0.00075,-0.004125,0,0,0,0,0,0
114476896,3334,-0.067125,-0.0015,0.077625,0.002813,-0.009187,-0.004125,0.001687,-0.004312,0,0,0,0,0,0
114511170,3337,-0.076313,-0.001688,0.088687,0.003375,-0.009375,-0.003563,0.003375,-0.003562,0,0,0,0,0,0
114613977,3338,-0.081937,-0.002438,0.094875,0.004125,-0.009563,-0.003375,0.004125,-0.003188,0,0,0,0,0,0
114613977,3341,-0.088125,-0.002625,0.102563,0.004687,-0.00975,-0.003187,0.004687,-0.003188,0,0,0,0,0,0
114751055,3342,-0.088688,-0.003187,0.10275,0.005063,-0.009187,-0.002625,0.005063,-0.002813,0,0,0,0,0,0
114751055,3344,-0.09,-0.002812,0.10425,0.004687,-0.010875,-0.004125,0.00375,-0.003937,0,0,0,0,0,0
114853867,3345,-0.09075,-0.003,0.105562,0.004875,-0.009938,-0.003,0.004875,-0.003375,0,0,0,0,0,0
114853867,3348,-0.097125,-0.002812,0.113063,0.004687,-0.01125,-0.003938,0.004312,-0.004312,0,0,0,0,0,0
114990966,3349,-0.103125,-0.002625,0.12075,0.005063,-0.011625,-0.003563,0.005625,-0.003375,0,0,0,0,0,0
115093761,3352,-0.10575,-0.004125,0.123,0.00675,-0.009563,-0.001687,0.0075,-0.001687,0,0,0,0,0,0
115128039,3355,-0.107437,-0.00525,0.12525,0.008063,-0.010313,-0.002438,0.00675,-0.002813,0,0,0,0,0,0
115230860,3356,-0.110813,-0.00525,0.129938,0.007688,-0.012563,-0.004125,0.005437,-0.004312,0,0,0,0,0,0
115230860,3359,-0.115125,-0.006188,0.133688,0.008813,-0.01125,-0.002625,0.00675,-0.003188,0,0,0,0,0,0
115367927,3360,-0.110063,-0.00675,0.128437,0.009188,-0.013125,-0.005063,0.0045,-0.00525,0,0,0,0,0,0
115367927,3362,-0.110063,-0.00675,0.128437,0.009188,-0.013125,-0.005063,0.0045,-0.00525,0,0,0,0,0,0
115470758,3363,-0.114188,-0.009,0.133688,0.011625,-0.013125,-0.0045,0.006,-0.004125,0,0,0,0,0,0
115607852,3367,-0.092437,-0.007313,0.106313,0.009562,-0.008625,-0.002063,0.005812,-0.001875,0,0,0,0,0,0
115642127,3370,-0.081,-0.007125,0.092812,0.009375,-0.001875,0.003375,0.010125,0.003188,0,0,0,0,0,0
115744918,3371,-0.016313,0.000187,0.015938,0.000188,-0.001125,-0.000563,0.001312,0,0,0,0,0,0,0
115779163,3374,0.001312,0,-0.000937,0.000188,0.000187,-0.000375,0,-0.000188,0,0,0,0,0,0
115881865,3375,0.000375,0.000187,-0.000375,-0.000188,-0.000188,-0.000188,0,-0.000188,0,0,0,0,0,0
115916105,3378,0.000375,0.000187,-0.000375,-0.000188,-0.000188,-0.000188,0,-0.000188,0,0,0,0,0,0
116018750,3379,0.000375,0.000375,-0.000187,0,0,-0.000375,0,-0.000188,0,0,0,0,0,0
116052951,3382,0.000375,0.000187,0,0.000188,-0.000188,-0.000375,0,-0.000375,0,0,0,0,0,0
116155627,3383,0.000375,0.000187,0,0.001125,0,-0.000563,0,-0.000375,0,0,0,0,0,0
116155627,3385,0.000187,-0.001312,0.000188,0.001313,-0.000188,-0.000563,0,-0.000375,0,0,0,0,0,0
116258335,3386,0.000187,-0.000375,0,0.00075,0,-0.000375,0,-0.000188,0,0,0,0,0,0
116292539,3389,0,-0.002062,-0.000187,0.00225,-0.000188,-0.000375,0,-0.000375,0,0,0,0,0,0
116395235,3390,0.000375,-0.001312,-0.000375,0.001125,0,0,0.000187,0,0,0,0,0,0,0
116429461,3393,0.000375,-0.001312,-0.000375,0.001125,0,0,0.000187,0,0,0,0,0,0,0
116532158,3394,0,-0.005063,0.000188,0.00525,0.000562,0,0.00075,0.000188,0,0,0,0,0,0
116566375,3398,-0.000375,-0.004875,0.00075,0.004687,0.001312,0.001125,0.001687,0.000938,0,0,0,0,0,0
116703370,3399,-0.00075,-0.005063,0.000938,0.004875,0.0015,0.001312,0.001875,0.000938,0,0,0,0,0,0
116703370,3401,-0.00075,-0.005063,0.000938,0.004875,0.0015,0.001312,0.001875,0.000938,0,0,0,0,0,0
116806141,3402,-0.000188,-0.009187,0.000188,0.009188,0.000938,0.000563,0.001312,0.000563,0,0,0,0,0,0
116840403,3405,-0.000188,-0.015938,0,0.0165,0.00075,0.000563,0.0015,0.000188,0,0,0,0,0,0
116943123,3406,-0.000375,-0.020437,0.000375,0.021187,0.001312,0.00075,0.001687,0.000375,0,0,0,0,0,0
116943123,3409,-0.002813,-0.039188,0.003,0.041438,0.003187,0.002062,0.003937,0.0015,0,0,0,0,0,0
117080181,3410,-0.004313,-0.049875,0.004688,0.052313,0.003562,0.001687,0.004312,0.0015,0,0,0,0,0,0
117080181,3412,-0.004313,-0.049875,0.004688,0.052313,0.003562,0.001687,0.004312,0.0015,0,0,0,0,0,0
117182984,3413,-0.006375,-0.062813,0.00675,0.0645,0.002812,0.001125,0.003937,0.000938,0,0,0,0,0,0
117217247,3416,-0.008813,-0.073875,0.008813,0.07575,0.003937,0.001312,0.004312,0.0015,0,0,0,0,0,0
117320041,3417,-0.009,-0.07275,0.009562,0.075375,0.004312,0.001875,0.004875,0.001688,0,0,0,0,0,0
117320041,3420,-0.009,-0.078187,0.009,0.08025,0.004688,0.002062,0.005063,0.001875,0,0,0,0,0,0
117457129,3421,-0.009938,-0.081188,0.010125,0.084,0.004312,0.001687,0.004875,0.0015,0,0,0,0,0,0
117457129,3423,-0.009938,-0.081188,0.010125,0.084,0.004312,0.001687,0.004875,0.0015,0,0,0,0,0,0
117559931,3424,-0.009375,-0.077062,0.009938,0.080063,0.003937,0.001125,0.0045,0.0015,0,0,0,0,0,0
117594189,3426,-0.009375,-0.077062,0.009938,0.080063,0.003937,0.001125,0.0045,0.0015,0,0,0,0,0,0
117594189,3427,-0.011063,-0.088313,0.011437,0.091875,0.004312,0.00075,0.0045,0.001125,0,0,0,0,0,0
117697004,3428,-0.010875,-0.08475,0.010875,0.086812,0.00375,0.000563,0.004312,0.001125,0,0,0,0,0,0
117731272,3431,-0.0105,-0.07725,0.010688,0.0795,0.003562,0.000938,0.004312,0.001312,0,0,0,0,0,0
